cpu_socket,mb_socket,ram_type,mb_ram_type,cpu_tdp_w,gpu_tdp_w,psu_wattage,gpu_length_mm,case_form_factor,mb_form_factor,compatible
AM5,AM5,DDR5,DDR5,104,234,1000,225,Mini-ITX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,132,277,450,194,Mini-ITX,ATX,0
AM5,AM5,DDR5,DDR5,148,312,1000,335,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,80,169,1000,318,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,142,242,450,252,Micro-ATX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,93,386,550,229,Mini-ITX,Micro-ATX,0
LGA1700,AM4,DDR4,DDR4,154,186,650,192,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,143,253,1000,254,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR5,DDR5,130,298,550,255,Micro-ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,151,393,450,323,Mini-ITX,Micro-ATX,0
LGA1200,AM4,DDR4,DDR4,69,385,450,236,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,169,100,750,273,Mini-ITX,ATX,0
AM5,AM4,DDR4,DDR4,86,157,850,305,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,134,107,550,214,Micro-ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,162,384,1000,181,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,96,197,650,303,ATX,ATX,1
LGA1700,LGA1700,DDR5,DDR5,142,129,450,279,Micro-ATX,Mini-ITX,1
LGA1700,LGA1700,DDR4,DDR4,117,381,1000,228,ATX,Mini-ITX,1
LGA1700,LGA1700,DDR4,DDR4,96,250,650,185,ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,80,449,650,317,Mini-ITX,ATX,0
AM4,AM4,DDR5,DDR4,96,381,750,347,ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,102,193,650,246,Mini-ITX,ATX,0
AM4,AM5,DDR4,DDR5,144,133,450,203,Micro-ATX,Mini-ITX,0
AM4,LGA1200,DDR4,DDR4,93,166,850,252,Micro-ATX,Mini-ITX,0
LGA1700,LGA1700,DDR4,DDR4,65,267,850,341,ATX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,66,317,650,214,ATX,ATX,1
LGA1700,LGA1700,DDR5,DDR5,143,352,550,189,ATX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,148,326,450,246,Micro-ATX,Micro-ATX,0
AM4,LGA1200,DDR4,DDR4,86,96,450,345,ATX,ATX,0
AM5,AM5,DDR5,DDR5,67,108,450,251,Micro-ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,151,128,750,254,Micro-ATX,Mini-ITX,1
LGA1700,LGA1700,DDR4,DDR4,153,196,650,334,Micro-ATX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,166,282,550,332,ATX,Micro-ATX,1
LGA1700,LGA1700,DDR5,DDR4,120,210,450,210,Micro-ATX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,147,324,750,195,Micro-ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,83,256,550,259,ATX,Micro-ATX,1
LGA1700,LGA1700,DDR4,DDR4,91,244,850,189,ATX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,78,432,1000,325,Mini-ITX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,153,230,1000,247,Mini-ITX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,143,75,450,353,Micro-ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,127,291,550,189,Mini-ITX,Mini-ITX,1
LGA1700,LGA1700,DDR4,DDR4,112,439,450,239,Micro-ATX,Micro-ATX,0
AM4,AM4,DDR5,DDR4,96,284,550,242,Mini-ITX,ATX,0
AM4,AM5,DDR5,DDR5,103,175,550,346,Mini-ITX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,142,147,750,338,ATX,ATX,1
LGA1200,LGA1200,DDR4,DDR4,154,197,450,203,ATX,Mini-ITX,1
LGA1700,LGA1700,DDR5,DDR5,143,279,650,287,ATX,Mini-ITX,1
LGA1700,AM5,DDR5,DDR5,164,101,550,283,Micro-ATX,Mini-ITX,0
LGA1700,LGA1700,DDR5,DDR5,148,290,450,344,Micro-ATX,ATX,0
LGA1700,AM4,DDR4,DDR4,108,263,650,356,Micro-ATX,Micro-ATX,0
AM4,AM5,DDR5,DDR5,160,236,750,192,ATX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,139,244,850,321,ATX,Mini-ITX,1
LGA1700,LGA1700,DDR5,DDR5,88,106,1000,354,Micro-ATX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,122,315,450,290,Mini-ITX,ATX,0
LGA1200,LGA1700,DDR5,DDR5,145,315,550,222,Micro-ATX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,155,117,650,300,Micro-ATX,ATX,0
AM4,AM4,DDR4,DDR4,139,138,650,202,Mini-ITX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,151,160,850,284,Mini-ITX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,78,241,850,286,ATX,Micro-ATX,1
AM5,AM5,DDR4,DDR5,148,374,450,203,Mini-ITX,Mini-ITX,0
LGA1700,LGA1700,DDR4,DDR4,78,123,450,217,Mini-ITX,Mini-ITX,1
LGA1200,AM5,DDR5,DDR5,137,387,1000,290,Micro-ATX,Mini-ITX,0
LGA1700,LGA1700,DDR4,DDR4,130,413,750,209,Mini-ITX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,120,214,1000,211,Mini-ITX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,109,315,550,353,Mini-ITX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,90,275,750,334,ATX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,135,395,750,189,Micro-ATX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,134,276,450,254,Mini-ITX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,153,278,850,340,Micro-ATX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,107,149,750,328,ATX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,99,99,550,192,Mini-ITX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,169,195,650,343,ATX,ATX,1
AM4,AM5,DDR5,DDR5,145,410,850,208,Micro-ATX,Mini-ITX,0
LGA1200,LGA1200,DDR5,DDR4,82,217,550,309,ATX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,118,100,450,212,Mini-ITX,Mini-ITX,1
AM5,LGA1200,DDR4,DDR4,144,218,550,316,ATX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,74,355,650,257,ATX,ATX,1
AM4,AM4,DDR4,DDR4,143,203,1000,327,Micro-ATX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,132,206,850,314,Mini-ITX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,156,195,550,245,ATX,Mini-ITX,1
LGA1700,LGA1700,DDR4,DDR4,141,218,1000,335,Mini-ITX,ATX,0
AM5,LGA1700,DDR4,DDR4,150,404,1000,326,Mini-ITX,Mini-ITX,0
LGA1200,AM5,DDR5,DDR5,100,124,550,200,Mini-ITX,Mini-ITX,0
AM4,AM4,DDR5,DDR4,119,322,750,251,Mini-ITX,Micro-ATX,0
LGA1200,LGA1700,DDR5,DDR5,124,202,850,338,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR5,DDR4,118,366,450,295,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR5,DDR5,148,232,550,240,Micro-ATX,ATX,0
AM5,AM5,DDR4,DDR5,140,118,550,261,Micro-ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,101,272,750,322,Micro-ATX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,96,308,750,221,ATX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,72,149,550,247,Mini-ITX,ATX,0
LGA1700,LGA1700,DDR4,DDR4,76,408,850,349,Mini-ITX,ATX,0
LGA1700,AM4,DDR5,DDR4,155,112,450,352,ATX,Micro-ATX,0
AM4,LGA1200,DDR4,DDR4,126,242,750,348,ATX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,132,446,850,284,ATX,Micro-ATX,1
LGA1200,AM4,DDR4,DDR4,78,302,750,280,ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,76,254,750,289,Micro-ATX,ATX,0
AM4,AM4,DDR4,DDR4,139,155,550,269,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,105,172,650,208,Mini-ITX,Mini-ITX,1
LGA1200,AM4,DDR4,DDR4,98,269,750,332,Micro-ATX,ATX,0
LGA1700,LGA1700,DDR4,DDR5,120,435,450,217,Mini-ITX,Micro-ATX,0
AM4,AM4,DDR5,DDR4,113,175,1000,280,Micro-ATX,ATX,0
LGA1700,LGA1700,DDR4,DDR5,124,114,750,275,Micro-ATX,ATX,0
LGA1700,LGA1700,DDR5,DDR4,146,373,1000,223,ATX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,151,188,550,281,Micro-ATX,ATX,0
LGA1700,LGA1200,DDR4,DDR4,69,117,1000,295,ATX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,88,282,450,223,Micro-ATX,Micro-ATX,1
LGA1700,LGA1700,DDR4,DDR4,137,374,450,247,Mini-ITX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,121,325,750,246,Mini-ITX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,101,387,450,274,Micro-ATX,ATX,0
LGA1700,LGA1700,DDR4,DDR4,72,192,550,334,ATX,ATX,1
AM4,AM4,DDR4,DDR4,166,335,550,223,ATX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,96,219,650,188,Mini-ITX,Micro-ATX,0
AM5,LGA1200,DDR4,DDR4,136,358,650,242,Mini-ITX,ATX,0
AM4,AM4,DDR4,DDR4,134,169,850,290,Micro-ATX,Micro-ATX,1
LGA1700,LGA1700,DDR5,DDR5,69,275,1000,351,Micro-ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,160,442,750,196,Micro-ATX,Mini-ITX,1
LGA1700,AM4,DDR5,DDR4,118,245,450,201,Micro-ATX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,129,320,1000,333,Micro-ATX,Mini-ITX,0
AM4,LGA1200,DDR4,DDR4,161,78,550,292,Micro-ATX,ATX,0
LGA1700,LGA1700,DDR5,DDR4,143,338,1000,263,Mini-ITX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,153,114,1000,322,ATX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,83,93,650,226,ATX,ATX,1
AM4,AM5,DDR5,DDR5,83,181,850,219,Mini-ITX,Micro-ATX,0
AM5,AM5,DDR4,DDR5,151,448,850,275,Micro-ATX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,106,238,750,308,Micro-ATX,ATX,0
LGA1700,LGA1200,DDR4,DDR4,88,211,450,348,ATX,Micro-ATX,0
LGA1700,AM4,DDR4,DDR4,158,404,650,230,ATX,Mini-ITX,0
AM5,AM5,DDR4,DDR5,116,372,550,184,ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,70,85,550,198,Mini-ITX,ATX,0
LGA1700,LGA1700,DDR5,DDR5,102,115,1000,192,ATX,ATX,1
AM4,AM4,DDR4,DDR4,163,110,850,324,Micro-ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,90,331,450,189,ATX,ATX,0
LGA1700,LGA1700,DDR4,DDR4,167,235,450,189,Micro-ATX,ATX,0
LGA1700,LGA1700,DDR5,DDR5,123,280,1000,228,Mini-ITX,Mini-ITX,1
AM5,AM4,DDR4,DDR4,167,91,650,348,Micro-ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,86,432,750,254,ATX,Mini-ITX,1
AM5,AM5,DDR4,DDR5,113,75,550,190,Micro-ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,137,167,550,271,ATX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,75,182,550,295,ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,92,177,1000,297,ATX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,144,133,850,197,Micro-ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,141,197,850,345,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,163,181,1000,256,ATX,ATX,1
LGA1700,LGA1700,DDR4,DDR4,96,424,450,304,ATX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,154,319,750,288,Mini-ITX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,106,234,750,250,Mini-ITX,Micro-ATX,0
LGA1200,AM5,DDR5,DDR5,127,209,1000,246,Mini-ITX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,129,322,850,215,ATX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,140,368,750,188,Mini-ITX,ATX,0
AM4,AM4,DDR4,DDR4,145,91,450,254,Micro-ATX,Mini-ITX,1
LGA1700,LGA1700,DDR4,DDR4,118,233,650,235,Micro-ATX,Micro-ATX,1
AM4,AM4,DDR4,DDR4,105,223,450,232,Mini-ITX,ATX,0
AM4,AM4,DDR4,DDR4,153,204,650,293,Micro-ATX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,101,335,650,215,Micro-ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,111,92,450,281,Micro-ATX,Micro-ATX,1
AM4,AM4,DDR4,DDR4,88,244,650,258,Micro-ATX,Mini-ITX,1
LGA1200,AM5,DDR5,DDR5,111,207,450,193,Micro-ATX,Micro-ATX,0
LGA1200,LGA1700,DDR4,DDR4,124,83,550,256,ATX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,91,426,750,353,Micro-ATX,Micro-ATX,0
AM4,AM5,DDR5,DDR5,113,236,550,244,ATX,Mini-ITX,0
LGA1700,LGA1700,DDR5,DDR5,164,255,850,224,ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,79,345,650,246,Mini-ITX,ATX,0
AM4,AM5,DDR5,DDR5,68,380,650,192,ATX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,68,323,550,298,Micro-ATX,ATX,0
LGA1700,LGA1700,DDR4,DDR4,145,358,650,262,ATX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,87,438,550,240,Micro-ATX,Mini-ITX,0
LGA1700,LGA1700,DDR5,DDR5,132,124,450,323,ATX,Mini-ITX,1
LGA1200,LGA1200,DDR5,DDR4,150,151,1000,269,Mini-ITX,Micro-ATX,0
LGA1700,AM4,DDR4,DDR4,73,334,650,332,ATX,Micro-ATX,0
AM4,AM4,DDR5,DDR4,69,432,1000,207,ATX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,118,405,650,295,Micro-ATX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,76,303,750,247,ATX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,72,168,650,258,ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,118,400,650,227,Micro-ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,120,402,1000,343,ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,112,437,1000,255,Mini-ITX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,161,113,850,250,Micro-ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,109,428,450,271,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,110,123,1000,336,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,77,338,650,338,ATX,ATX,1
AM5,LGA1200,DDR4,DDR4,132,151,650,233,Mini-ITX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,95,126,1000,245,Micro-ATX,Micro-ATX,1
LGA1200,LGA1200,DDR5,DDR4,93,128,450,345,Mini-ITX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,168,194,550,204,Micro-ATX,Micro-ATX,1
AM4,LGA1200,DDR4,DDR4,67,283,750,326,Mini-ITX,ATX,0
AM5,AM5,DDR5,DDR5,86,131,550,201,Mini-ITX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,78,154,650,183,Micro-ATX,Mini-ITX,1
LGA1700,AM5,DDR5,DDR5,162,134,450,260,ATX,ATX,0
AM4,AM4,DDR4,DDR4,157,307,750,305,Mini-ITX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,94,117,550,251,ATX,Micro-ATX,1
LGA1200,LGA1200,DDR4,DDR4,79,193,450,286,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,118,401,1000,224,Micro-ATX,Mini-ITX,1
AM5,LGA1700,DDR5,DDR5,88,81,450,224,Mini-ITX,Micro-ATX,0
AM5,AM5,DDR4,DDR5,96,95,550,346,Micro-ATX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,142,252,450,310,Mini-ITX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,139,199,850,306,ATX,ATX,1
LGA1700,AM5,DDR5,DDR5,91,306,1000,320,Mini-ITX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,124,290,450,181,ATX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,109,205,850,316,ATX,Micro-ATX,1
LGA1200,LGA1200,DDR5,DDR4,158,415,550,182,Micro-ATX,Micro-ATX,0
AM4,AM5,DDR5,DDR5,92,199,1000,284,ATX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,91,252,550,247,ATX,Micro-ATX,1
LGA1700,LGA1700,DDR5,DDR5,120,404,1000,319,ATX,ATX,1
LGA1200,LGA1200,DDR4,DDR4,163,408,750,316,Mini-ITX,ATX,0
AM4,AM4,DDR4,DDR4,80,80,650,294,Mini-ITX,Mini-ITX,0
LGA1700,LGA1700,DDR4,DDR4,90,243,650,188,Mini-ITX,ATX,0
AM4,AM5,DDR5,DDR5,93,84,450,272,ATX,ATX,0
AM5,AM5,DDR5,DDR5,145,93,750,260,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,77,422,850,229,Mini-ITX,ATX,0
AM4,LGA1700,DDR5,DDR5,72,392,1000,186,ATX,Micro-ATX,0
AM4,AM4,DDR5,DDR4,102,165,450,331,Mini-ITX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,138,129,750,337,Micro-ATX,ATX,0
AM4,AM4,DDR4,DDR4,112,273,1000,287,Micro-ATX,Mini-ITX,1
LGA1700,LGA1700,DDR5,DDR5,117,357,1000,232,Mini-ITX,ATX,0
LGA1700,LGA1700,DDR4,DDR4,128,160,750,215,Micro-ATX,Mini-ITX,1
LGA1200,AM4,DDR5,DDR4,164,300,750,314,ATX,ATX,0
AM5,AM5,DDR5,DDR5,115,86,1000,333,Mini-ITX,ATX,0
LGA1700,LGA1700,DDR5,DDR5,137,190,850,357,Mini-ITX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,107,110,450,250,Micro-ATX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,77,384,850,194,ATX,Micro-ATX,1
LGA1200,LGA1200,DDR4,DDR4,96,78,650,308,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,140,122,550,254,ATX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,100,177,550,180,ATX,Micro-ATX,1
LGA1700,AM4,DDR4,DDR4,119,293,650,216,Micro-ATX,Mini-ITX,0
LGA1700,LGA1700,DDR5,DDR5,125,158,850,261,ATX,Micro-ATX,1
AM4,AM5,DDR5,DDR5,148,319,450,307,Mini-ITX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,74,112,450,192,ATX,ATX,1
LGA1200,LGA1200,DDR4,DDR4,161,293,1000,293,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR5,DDR5,104,369,1000,277,Mini-ITX,ATX,0
AM5,AM5,DDR4,DDR5,79,384,1000,348,ATX,Mini-ITX,0
LGA1700,LGA1200,DDR4,DDR4,115,407,1000,181,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,132,331,450,204,Micro-ATX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,158,295,750,205,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,67,428,850,339,Micro-ATX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,114,147,1000,338,Mini-ITX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,115,121,650,309,Micro-ATX,Micro-ATX,1
LGA1200,LGA1200,DDR4,DDR4,71,120,650,262,Mini-ITX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,82,236,450,207,ATX,Micro-ATX,1
LGA1200,LGA1200,DDR4,DDR4,69,310,650,331,Micro-ATX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,153,390,650,183,Micro-ATX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,68,221,550,186,ATX,ATX,1
AM4,AM4,DDR5,DDR4,122,278,850,333,ATX,Mini-ITX,0
AM5,AM4,DDR4,DDR4,161,298,550,322,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,127,361,450,352,ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,146,245,450,304,ATX,ATX,0
AM5,AM5,DDR4,DDR5,111,390,450,245,Mini-ITX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,166,91,550,286,Micro-ATX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,136,84,850,244,Micro-ATX,Micro-ATX,1
LGA1200,LGA1200,DDR4,DDR4,74,293,1000,263,Mini-ITX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,119,95,750,216,Micro-ATX,Micro-ATX,1
LGA1700,LGA1700,DDR4,DDR4,105,184,450,283,Micro-ATX,ATX,0
LGA1700,LGA1700,DDR5,DDR5,90,392,650,247,Mini-ITX,ATX,0
AM4,AM4,DDR4,DDR4,140,149,750,271,Mini-ITX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,116,227,550,299,ATX,Micro-ATX,1
LGA1200,AM5,DDR5,DDR5,120,107,1000,302,Micro-ATX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,73,201,450,199,Mini-ITX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,85,121,450,184,Mini-ITX,Micro-ATX,0
LGA1700,AM5,DDR5,DDR5,116,363,750,246,Micro-ATX,Mini-ITX,0
AM4,LGA1700,DDR5,DDR5,143,260,750,291,ATX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,167,172,450,222,Micro-ATX,Micro-ATX,1
LGA1200,LGA1700,DDR4,DDR5,140,127,650,226,Micro-ATX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,126,150,650,351,Micro-ATX,Mini-ITX,0
LGA1200,AM5,DDR5,DDR5,99,127,450,240,Mini-ITX,ATX,0
AM4,AM4,DDR4,DDR4,99,199,550,329,Mini-ITX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,96,207,550,273,Mini-ITX,ATX,0
AM5,AM5,DDR5,DDR5,133,216,750,237,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,163,84,1000,239,Mini-ITX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,76,255,650,196,Mini-ITX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,109,373,750,259,Micro-ATX,ATX,0
LGA1700,LGA1700,DDR5,DDR5,71,158,450,198,ATX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,119,430,650,244,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR5,DDR5,132,381,550,314,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,168,163,750,283,Micro-ATX,Micro-ATX,1
LGA1700,LGA1200,DDR4,DDR4,158,92,750,196,ATX,Mini-ITX,0
LGA1700,AM4,DDR4,DDR4,148,248,750,279,Micro-ATX,ATX,0
AM4,AM4,DDR4,DDR4,97,93,1000,306,ATX,Micro-ATX,1
LGA1700,LGA1700,DDR4,DDR4,138,92,850,183,Mini-ITX,Mini-ITX,1
LGA1700,LGA1700,DDR5,DDR5,93,427,650,271,Micro-ATX,ATX,0
LGA1700,LGA1700,DDR5,DDR5,146,420,850,355,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,77,406,750,257,Mini-ITX,ATX,0
AM5,AM5,DDR5,DDR5,79,211,550,343,ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,83,325,450,347,Micro-ATX,ATX,0
LGA1700,LGA1700,DDR5,DDR5,127,351,850,340,Micro-ATX,Mini-ITX,0
AM4,AM5,DDR5,DDR5,123,339,850,336,ATX,Mini-ITX,0
LGA1200,LGA1700,DDR5,DDR5,93,220,850,359,ATX,Mini-ITX,0
LGA1700,LGA1700,DDR5,DDR5,70,288,450,347,ATX,ATX,1
AM5,AM5,DDR5,DDR5,81,389,1000,312,Micro-ATX,Micro-ATX,1
LGA1200,LGA1200,DDR4,DDR4,74,413,750,287,ATX,Micro-ATX,1
AM4,AM4,DDR5,DDR4,77,95,550,180,Micro-ATX,Micro-ATX,0
LGA1700,AM4,DDR4,DDR4,106,344,850,223,Mini-ITX,Mini-ITX,0
LGA1700,LGA1700,DDR4,DDR4,68,282,750,357,Micro-ATX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,100,154,750,228,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,65,300,550,228,ATX,Micro-ATX,1
AM4,AM4,DDR4,DDR4,83,113,850,312,ATX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,162,226,450,262,ATX,ATX,0
LGA1200,AM4,DDR4,DDR4,105,231,750,267,ATX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,168,236,450,202,ATX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,154,190,650,259,ATX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,105,216,450,325,Mini-ITX,Mini-ITX,0
LGA1700,LGA1700,DDR5,DDR5,74,324,850,219,Micro-ATX,ATX,0
AM5,LGA1700,DDR4,DDR4,113,244,1000,251,ATX,ATX,0
LGA1200,AM5,DDR5,DDR5,157,153,1000,293,Mini-ITX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,143,442,550,249,Micro-ATX,Mini-ITX,0
LGA1700,AM5,DDR5,DDR5,145,88,550,291,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,152,202,850,226,Mini-ITX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,71,432,750,356,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,126,338,850,191,Micro-ATX,Mini-ITX,1
LGA1200,LGA1700,DDR4,DDR4,158,161,550,297,Mini-ITX,Micro-ATX,0
LGA1700,AM4,DDR4,DDR4,95,440,1000,337,ATX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,96,236,750,348,ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,124,125,650,221,ATX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,81,168,850,252,ATX,Mini-ITX,1
LGA1200,AM4,DDR4,DDR4,101,348,550,288,ATX,Micro-ATX,0
AM4,LGA1700,DDR5,DDR5,79,354,650,334,Mini-ITX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,85,206,650,211,Micro-ATX,Micro-ATX,1
LGA1200,AM4,DDR4,DDR4,108,321,550,268,Micro-ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,82,350,550,296,Mini-ITX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,167,420,750,238,Micro-ATX,ATX,0
